project,language,filename,blank,comment,code
vim,awk,D:\clones\vim\runtime\doc\maketags.awk,5,7.0,30.0
php-src,awk,D:\clones\php-src\ext\mbstring\libmbfl\mbfl\mk_eaw_tbl.awk,6,3.0,70.0
php-src,awk,D:\clones\php-src\build\print_include.awk,0,0.0,6.0
cats,awk,D:\clones\cats\scripts\parse-test-durations.awk,3,21.0,11.0
cockroach,awk,D:\clones\cockroach\pkg\sql\parser\help.awk,16,57.0,77.0
cockroach,awk,D:\clones\cockroach\pkg\sql\parser\reserved_keywords.awk,7,2.0,33.0
CNTK,awk,D:\clones\CNTK\Tests\EndToEndTests\Image\Base64Write\Comparator.awk,4,4.0,16.0
php-src,awk,D:\clones\php-src\ext\fileinfo\tests\resources\test.awk,0,0.0,1.0
node,awk,D:\clones\node\deps\cares\get_ver.awk,1,8.0,18.0
FFmpeg,awk,D:\clones\FFmpeg\tests\refcmp-metadata.awk,6,5.0,53.0
tmux,awk,D:\clones\tmux\mdoc2man.awk,7,23.0,340.0
scala,awk,D:\clones\scala\scripts\readproperties.awk,0,3.0,36.0
Hero,awk,D:\clones\Hero\.makefiles\help.awk,15,2.0,56.0
grpc,awk,D:\clones\grpc\src\php\bin\php_extension_doxygen_filter.awk,32,33.0,132.0
php-src,awk,D:\clones\php-src\build\order_by_dep.awk,10,6.0,72.0
vim,awk,D:\clones\vim\runtime\doc\makehtml.awk,28,85.0,674.0
ruby,awk,D:\clones\ruby\sample\rcs.awk,1,0.0,32.0
go,awk,D:\clones\go\src\hash\test_gen.awk,1,6.0,7.0
vim,awk,D:\clones\vim\runtime\tools\mve.awk,2,9.0,12.0
cockroach,awk,D:\clones\cockroach\pkg\sql\parser\unreserved_keywords.awk,3,0.0,16.0
cockroach,awk,D:\clones\cockroach\pkg\sql\parser\replace_help_rules.awk,1,14.0,17.0
ruby,awk,D:\clones\ruby\sample\fib.awk,1,0.0,4.0
protobuf,awk,D:\clones\protobuf\java\lite\lite.awk,5,3.0,17.0
