project,language,filename,blank,comment,code
choco,NAnt script,D:\clones\choco\.build.custom\bdddoc.build,5,1.0,32.0
models,NAnt script,D:\clones\models\research\vid2depth\third_party\eigen.BUILD,5,0.0,26.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\systemlibs\google_cloud_cpp.google.cloud.bigtable.BUILD,1,0.0,6.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\fft2d\fft2d.BUILD,8,0.0,37.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\mkl_dnn\mkldnn_v1.BUILD,10,0.0,214.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\gpus\local_config_cuda.BUILD,7,0.0,53.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\kissfft\kissfft.BUILD,3,0.0,20.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\absl\system.absl.debugging.BUILD,8,0.0,61.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\farmhash\farmhash.BUILD,3,0.0,20.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\pprof.BUILD,4,0.0,14.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\systemlibs\absl_py.absl.logging.BUILD,2,0.0,5.0
grpc,NAnt script,D:\clones\grpc\third_party\six.BUILD,2,0.0,12.0
tensorflow,NAnt script,D:\clones\tensorflow\tensorflow\tools\toolchains\clang6\clang.BUILD,22,0.0,138.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\systemlibs\grpc.BUILD,11,0.0,65.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\png.BUILD,5,0.0,65.0
grpc,NAnt script,D:\clones\grpc\third_party\libprotobuf_mutator.BUILD,2,0.0,28.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\six.BUILD,3,0.0,11.0
choco,NAnt script,D:\clones\choco\.build\open.build,6,4.0,55.0
models,NAnt script,D:\clones\models\research\seq_flow_lite\third_party\pybind11.BUILD,1,0.0,24.0
kubernetes,NAnt script,D:\clones\kubernetes\third_party\etcd.BUILD,0,0.0,1.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\systemlibs\nsync.BUILD,4,0.0,19.0
php-src,NAnt script,D:\clones\php-src\ext\intl\tests\resourcebundle.build,8,0.0,26.0
choco,NAnt script,D:\clones\choco\.build\customize.build,10,4.0,55.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\nlohmann_json.BUILD,3,0.0,19.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\systemlibs\absl_py.absl.testing.BUILD,3,0.0,13.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\cpuinfo\cpuinfo.BUILD,53,0.0,347.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\systemlibs\sqlite.BUILD,2,0.0,13.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\absl\system.absl.flags.BUILD,13,0.0,142.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\libxsmm.BUILD,11,0.0,108.0
tensorflow,NAnt script,D:\clones\tensorflow\third_party\cudnn_frontend.BUILD,5,0.0,19.0
