project,language,filename,blank,comment,code
elm-compiler,Visual Basic Script,D:\clones\elm-compiler\installers\win\removefrompath.vbs,1,2.0,14.0
elm-compiler,Visual Basic Script,D:\clones\elm-compiler\installers\win\updatepath.vbs,2,1.0,11.0
websocketd,Visual Basic Script,D:\clones\websocketd\examples\windows-vbscript\dump-env.vbs,5,6.0,37.0
websocketd,Visual Basic Script,D:\clones\websocketd\examples\windows-vbscript\greeter.vbs,2,5.0,4.0
XX-Net,Visual Basic Script,D:\clones\XX-Net\code\default\launcher\download.vbs,5,0.0,22.0
XX-Net,Visual Basic Script,D:\clones\XX-Net\start.vbs,41,5.0,154.0
websocketd,Visual Basic Script,D:\clones\websocketd\examples\windows-vbscript\count.vbs,2,5.0,4.0
XX-Net,Visual Basic Script,D:\clones\XX-Net\code\default\launcher\unzip.vbs,1,0.0,11.0
metasploit-framework,Visual Basic Script,D:\clones\metasploit-framework\data\exploits\scripthost_uac_bypass\bypass.vbs,7,0.0,55.0
cpython,Visual Basic Script,D:\clones\cpython\Lib\test\empty.vbs,0,1.0,0.0
