project,language,filename,blank,comment,code
traefik,TOML,D:\clones\traefik\integration\fixtures\https\https_domain_fronting.toml,13,1.0,39.0
tidb,TOML,D:\clones\tidb\dumpling\tests\rows\conf\lightning.toml,4,1.0,15.0
notty,TOML,D:\clones\notty\Cargo.toml,2,0.0,13.0
tidb,TOML,D:\clones\tidb\dumpling\tests\rows_extreme_int\conf\lightning.toml,4,1.0,15.0
nom,TOML,D:\clones\nom\rustfmt.toml,0,0.0,2.0
traefik,TOML,D:\clones\traefik\integration\fixtures\https\https_sni_default_cert.toml,11,1.0,36.0
traefik,TOML,D:\clones\traefik\integration\fixtures\https\clientca\https_2ca2config.toml,11,1.0,40.0
tidb,TOML,D:\clones\tidb\errors.toml,518,2.0,2068.0
tikv,TOML,D:\clones\tikv\components\tikv_kv\Cargo.toml,5,0.0,49.0
traefik,TOML,D:\clones\traefik\integration\fixtures\https\https_sni.toml,11,1.0,36.0
notty,TOML,D:\clones\notty\notty-cairo\pangocairo\Cargo.toml,1,0.0,11.0
traefik,TOML,D:\clones\traefik\integration\fixtures\https\clientca\https_2ca1config.toml,12,1.0,39.0
tidb,TOML,D:\clones\tidb\br\errors.toml,43,2.0,168.0
traefik,TOML,D:\clones\traefik\integration\fixtures\mirror.toml,14,1.0,46.0
traefik,TOML,D:\clones\traefik\integration\fixtures\healthcheck\reload_without_healthcheck.toml,7,1.0,38.0
tidb,TOML,D:\clones\tidb\br\tests\lightning_duplicate_detection\config1.toml,7,0.0,33.0
tikv,TOML,D:\clones\tikv\components\resolved_ts\Cargo.toml,5,0.0,63.0
tikv,TOML,D:\clones\tikv\Cargo.toml,19,14.0,310.0
tikv,TOML,D:\clones\tikv\tests\Cargo.toml,14,2.0,140.0
nom,TOML,D:\clones\nom\Cargo.toml,29,1.0,102.0
tikv,TOML,D:\clones\tikv\components\engine_rocks\Cargo.toml,5,10.0,49.0
tikv,TOML,D:\clones\tikv\components\external_storage\Cargo.toml,3,1.0,49.0
tikv,TOML,D:\clones\tikv\cmd\tikv-ctl\Cargo.toml,5,0.0,92.0
nom,TOML,D:\clones\nom\benchmarks\Cargo.toml,9,1.0,34.0
nom,TOML,D:\clones\nom\fuzz\Cargo.toml,6,1.0,17.0
tidb,TOML,D:\clones\tidb\dumpling\tests\e2e\conf\diff_config.toml,9,1.0,19.0
tidb,TOML,D:\clones\tidb\dumpling\tests\ignore_generate_column\conf\lightning.toml,4,1.0,15.0
tachiyomi,TOML,D:\clones\tachiyomi\gradle\androidx.versions.toml,6,0.0,27.0
tachiyomi,TOML,D:\clones\tachiyomi\gradle\kotlinx.versions.toml,6,0.0,17.0
traefik,TOML,D:\clones\traefik\integration\fixtures\tcp\multi-tls-options.toml,11,1.0,35.0
tachiyomi,TOML,D:\clones\tachiyomi\gradle\compose.versions.toml,1,0.0,8.0
tidb,TOML,D:\clones\tidb\dumpling\tests\all_generate_column\conf\diff_config.toml,9,1.0,19.0
