project,language,filename,blank,comment,code
ghc,DOS Batch,D:\clones\ghc\hadrian\build.bat,1,1.0,2.0
brackets,DOS Batch,D:\clones\brackets\tools\setup_server_smokes.bat,9,6.0,22.0
scala-native,DOS Batch,D:\clones\scala-native\unit-tests\shared\src\test\resources\process\windows\echo.bat,3,0.0,12.0
eta,DOS Batch,D:\clones\eta\rts\gradlew.bat,23,2.0,59.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\external\source\SqlClrPayload\make.bat,10,0.0,38.0
scala-native,DOS Batch,D:\clones\scala-native\unit-tests\shared\src\test\resources\process\windows\err.bat,0,0.0,3.0
elm-compiler,DOS Batch,D:\clones\elm-compiler\installers\win\make_installer.cmd,6,0.0,12.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\tools\exploit\extract_msu.bat,7,0.0,29.0
brackets,DOS Batch,D:\clones\brackets\tools\setup_for_hacking.bat,9,6.0,21.0
scala-native,DOS Batch,D:\clones\scala-native\unit-tests\shared\src\test\resources\process\windows\hello.bat,0,0.0,2.0
roslyn,DOS Batch,D:\clones\roslyn\Verify.cmd,0,0.0,2.0
scikit-learn,DOS Batch,D:\clones\scikit-learn\doc\make.bat,17,1.0,102.0
roslyn,DOS Batch,D:\clones\roslyn\Restore.cmd,0,0.0,2.0
roslyn,DOS Batch,D:\clones\roslyn\Build.cmd,0,0.0,2.0
roslyn,DOS Batch,D:\clones\roslyn\src\NuGet\VisualStudio\Init.cmd,1,0.0,3.0
roslyn,DOS Batch,D:\clones\roslyn\src\Compilers\Test\Resources\Core\SymbolsTests\netModule\CrossRefBuild.bat,1,3.0,3.0
roslyn,DOS Batch,D:\clones\roslyn\eng\common\init-tools-native.cmd,0,0.0,3.0
roslyn,DOS Batch,D:\clones\roslyn\src\Compilers\Test\Resources\Core\SymbolsTests\Versioning\Build.cmd,1,3.0,4.0
roslyn,DOS Batch,D:\clones\roslyn\eng\common\CIBuild.cmd,0,0.0,2.0
lwjgl3,DOS Batch,D:\clones\lwjgl3\gradlew.bat,26,2.0,76.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\external\source\exploits\make.bat,21,0.0,91.0
roslyn,DOS Batch,D:\clones\roslyn\src\Compilers\Test\Resources\Core\NetFX\Minimal\build.cmd,1,2.0,4.0
luvit,DOS Batch,D:\clones\luvit\make.bat,7,0.0,33.0
scala,DOS Batch,D:\clones\scala\scripts\generate-spec-pdf.bat,5,4.0,15.0
roslyn,DOS Batch,D:\clones\roslyn\eng\common\dotnet-install.cmd,0,0.0,2.0
roslyn,DOS Batch,D:\clones\roslyn\src\Compilers\Test\Resources\Core\WinRt\MakeWinMds.cmd,1,3.0,6.0
elasticsearch,DOS Batch,D:\clones\elasticsearch\distribution\src\bin\elasticsearch-cli.bat,7,2.0,18.0
scala,DOS Batch,D:\clones\scala\test\files\jvm\mkLibNatives.bat,22,13.0,35.0
roslyn,DOS Batch,D:\clones\roslyn\Test.cmd,0,0.0,2.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\external\source\exploits\bypassuac_injection\make.bat,10,0.0,28.0
roslyn,DOS Batch,D:\clones\roslyn\src\Compilers\Test\Resources\Core\MetadataTests\Invalid\Signatures\build.bat,2,0.0,4.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\external\source\vncdll\make.bat,8,0.0,24.0
ruby,DOS Batch,D:\clones\ruby\win32\rm.bat,0,0.0,18.0
sbt,DOS Batch,D:\clones\sbt\launcher-package\integration-test\bin\java.cmd,0,0.0,1.0
mono,DOS Batch,D:\clones\mono\mcs\class\System.Data.Linq\examples\DbLinq.MySql.Example\sql\run_myAndrus.bat,3,1.0,1.0
roslyn,DOS Batch,D:\clones\roslyn\src\Compilers\Test\Resources\Core\NetFX\aacorlib\build.cmd,1,3.0,1.0
mono,DOS Batch,D:\clones\mono\mcs\tools\sqlmetal\src\Build Northwind.bat,0,0.0,1.0
mono,DOS Batch,D:\clones\mono\mcs\tools\sqlmetal\src\DbLinq\Schema\Dbml\DbmlSchema.bat,0,0.0,1.0
roslyn,DOS Batch,D:\clones\roslyn\scripts\sort-unshipped.cmd,1,1.0,1.0
roslyn,DOS Batch,D:\clones\roslyn\src\Setup\Installer\scripts\uninstall.bat,0,0.0,2.0
mono,DOS Batch,D:\clones\mono\mcs\tools\sqlmetal\src\DbMetal\run_ingMetal.bat,2,0.0,1.0
mono,DOS Batch,D:\clones\mono\mcs\tools\sqlmetal\src\DbMetal\run_myMetal.bat,3,1.0,1.0
mono,DOS Batch,D:\clones\mono\mcs\tools\sqlmetal\src\DbMetal\run_oraMetal.bat,2,2.0,1.0
mono,DOS Batch,D:\clones\mono\mcs\tools\sqlmetal\src\DbMetal\run_pgMetal.bat,0,0.0,1.0
cpython,DOS Batch,D:\clones\cpython\PCbuild\build_env.bat,0,0.0,1.0
cpython,DOS Batch,D:\clones\cpython\Lib\ctypes\macholib\fetch_macholib.bat,0,0.0,1.0
mono,DOS Batch,D:\clones\mono\mcs\class\System.Data.Linq\examples\DbLinq.MySql.Example\nwind\generate_AllTypes.bat,1,1.0,1.0
cpython,DOS Batch,D:\clones\cpython\PCbuild\clean.bat,1,2.0,2.0
cpython,DOS Batch,D:\clones\cpython\Lib\idlelib\idle.bat,0,1.0,3.0
cpython,DOS Batch,D:\clones\cpython\Tools\unicode\genwincodecs.bat,1,0.0,6.0
cpython,DOS Batch,D:\clones\cpython\Tools\buildbot\buildmsi.bat,3,0.0,6.0
cpython,DOS Batch,D:\clones\cpython\Tools\buildbot\clean.bat,4,1.0,12.0
cpython,DOS Batch,D:\clones\cpython\Tools\buildbot\build.bat,5,0.0,12.0
cpython,DOS Batch,D:\clones\cpython\Lib\venv\scripts\nt\deactivate.bat,6,0.0,16.0
cpython,DOS Batch,D:\clones\cpython\PCbuild\env.bat,3,7.0,17.0
cpython,DOS Batch,D:\clones\cpython\PCbuild\blurb.bat,4,7.0,17.0
cpython,DOS Batch,D:\clones\cpython\PCbuild\idle.bat,5,3.0,19.0
cpython,DOS Batch,D:\clones\cpython\Lib\venv\scripts\nt\activate.bat,9,1.0,24.0
roslyn,DOS Batch,D:\clones\roslyn\scripts\check-for-loc-changes.cmd,0,0.0,2.0
cpython,DOS Batch,D:\clones\cpython\Tools\buildbot\remotePythonInfo.bat,6,1.0,28.0
roslyn,DOS Batch,D:\clones\roslyn\src\Setup\Installer\scripts\install.bat,0,0.0,2.0
mono,DOS Batch,D:\clones\mono\packaging\Windows\resources\wrapper.bat,0,0.0,2.0
swift,DOS Batch,D:\clones\swift\utils\swift_build_support\tests\mock-distcc.cmd,0,0.0,3.0
swift,DOS Batch,D:\clones\swift\utils\update-checkout.cmd,0,0.0,1.0
go,DOS Batch,D:\clones\go\src\all.bat,5,7.0,15.0
ruby,DOS Batch,D:\clones\ruby\win32\rmdirs.bat,0,1.0,29.0
mono,DOS Batch,D:\clones\mono\msvc\scripts\tests\build-full-aot-regression-tests.bat,58,4.0,199.0
ruby,DOS Batch,D:\clones\ruby\win32\makedirs.bat,0,0.0,3.0
ruby,DOS Batch,D:\clones\ruby\spec\mspec\bin\mspec.bat,0,0.0,1.0
elasticsearch,DOS Batch,D:\clones\elasticsearch\plugins\examples\gradlew.bat,21,2.0,66.0
ruby,DOS Batch,D:\clones\ruby\win32\rtname.cmd,2,1.0,32.0
mono,DOS Batch,D:\clones\mono\packaging\Windows\resources\bat\setmonopath.bat,0,0.0,4.0
emscripten,DOS Batch,D:\clones\emscripten\tools\run_python_compiler.bat,10,24.0,35.0
mono,DOS Batch,D:\clones\mono\packaging\Windows\resources\build64.bat,2,0.0,4.0
mono,DOS Batch,D:\clones\mono\msvc\build-external-btls.bat,94,61.0,332.0
emscripten,DOS Batch,D:\clones\emscripten\emdump.bat,9,22.0,29.0
emscripten,DOS Batch,D:\clones\emscripten\emdwp.bat,9,22.0,29.0
emscripten,DOS Batch,D:\clones\emscripten\emnm.bat,9,22.0,29.0
emscripten,DOS Batch,D:\clones\emscripten\emprofile.bat,9,22.0,29.0
emscripten,DOS Batch,D:\clones\emscripten\tools\webidl_binder.bat,9,22.0,29.0
emscripten,DOS Batch,D:\clones\emscripten\tests\third_party\openjpeg\clean.bat,1,0.0,24.0
ruby,DOS Batch,D:\clones\ruby\win32\ifchange.bat,10,2.0,102.0
mono,DOS Batch,D:\clones\mono\msvc\build-external-llvm.bat,97,63.0,348.0
rust,DOS Batch,D:\clones\rust\src\etc\rust-windbg.cmd,3,0.0,5.0
ruby,DOS Batch,D:\clones\ruby\win32\configure.bat,2,0.0,266.0
elasticsearch,DOS Batch,D:\clones\elasticsearch\distribution\src\bin\elasticsearch-env.bat,16,15.0,46.0
roslyn,DOS Batch,D:\clones\roslyn\src\Compilers\Test\Resources\Core\SymbolsTests\Metadata\InvalidCharactersInAssemblyName.cmd,1,3.0,1.0
emscripten,DOS Batch,D:\clones\emscripten\system\bin\sdl-config.bat,0,0.0,2.0
emscripten,DOS Batch,D:\clones\emscripten\system\bin\sdl2-config.bat,0,0.0,2.0
rust,DOS Batch,D:\clones\rust\src\test\run-make-fulldeps\long-linker-command-lines-cmd-exe\foo.bat,0,0.0,1.0
brackets,DOS Batch,D:\clones\brackets\tools\restore_installed_build.bat,5,2.0,11.0
MonoGame,DOS Batch,D:\clones\MonoGame\MonoGame.Framework\Platform\Graphics\Effect\Resources\RebuildMGFX.bat,6,0.0,9.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\external\source\HostingCLR_inject\make.bat,7,0.0,19.0
cpython,DOS Batch,D:\clones\cpython\Tools\buildbot\test.bat,8,1.0,42.0
cpython,DOS Batch,D:\clones\cpython\PCbuild\prepare_tcltk.bat,12,3.0,44.0
emscripten,DOS Batch,D:\clones\emscripten\site\make.bat,29,1.0,212.0
roslyn,DOS Batch,D:\clones\roslyn\scripts\PublicApi\mark-shipped.cmd,0,0.0,2.0
roslyn,DOS Batch,D:\clones\roslyn\eng\test-determinism.cmd,0,0.0,2.0
mockito-kotlin,DOS Batch,D:\clones\mockito-kotlin\gradlew.bat,21,2.0,66.0
RxKotlin,DOS Batch,D:\clones\RxKotlin\gradlew.bat,24,2.0,74.0
roslyn,DOS Batch,D:\clones\roslyn\eng\test-build-correctness.cmd,0,0.0,2.0
roslyn,DOS Batch,D:\clones\roslyn\eng\generate-compiler-code.cmd,1,0.0,2.0
v8,DOS Batch,D:\clones\v8\tools\windows-tick-processor.bat,4,3.0,23.0
meteor,DOS Batch,D:\clones\meteor\scripts\npm.cmd,0,0.0,1.0
arrow,DOS Batch,D:\clones\arrow\gradlew.bat,21,2.0,66.0
meteor,DOS Batch,D:\clones\meteor\tools\tests\fake-mongod\fake-mongod.bat,3,4.0,7.0
v8,DOS Batch,D:\clones\v8\tools\mb\mb.bat,0,1.0,5.0
RxJava,DOS Batch,D:\clones\RxJava\gradlew.bat,21,2.0,66.0
flatbuffers,DOS Batch,D:\clones\flatbuffers\android\gradlew.bat,23,2.0,59.0
meteor,DOS Batch,D:\clones\meteor\meteor.bat,10,9.0,38.0
flatbuffers,DOS Batch,D:\clones\flatbuffers\kotlin\gradlew.bat,21,2.0,66.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\external\source\DLLHijackAuditKit\02_Analyze.bat,1,0.0,4.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\external\source\DLLHijackAuditKit\01_StartAudit.bat,2,0.0,5.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\external\source\byakugan\setup.bat,4,2.0,10.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\data\templates\src\pe\dll_mixed_mode\build.bat,2,0.0,11.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\data\templates\src\pe\dll\build.bat,3,0.0,11.0
sbt,DOS Batch,D:\clones\sbt\launcher-package\src\universal\bin\sbt.bat,166,50.0,817.0
sbt,DOS Batch,D:\clones\sbt\launcher-package\bin\coursier.bat,21,0.0,74.0
sbt,DOS Batch,D:\clones\sbt\launcher-package\citest\test.bat,12,0.0,19.0
sbt,DOS Batch,D:\clones\sbt\launcher-package\citest\test3\test3.bat,5,0.0,12.0
metasploit-framework,DOS Batch,D:\clones\metasploit-framework\data\templates\src\msi\compile.bat,2,1.0,15.0
meteor,DOS Batch,D:\clones\meteor\scripts\admin\publish-meteor-tool.bat,6,16.0,20.0
