project,language,filename,blank,comment,code
elixir,Erlang,D:\clones\elixir\lib\mix\test\fixtures\compile_leex\src\test_ok.xrl,10,0.0,17.0
elixir,Erlang,D:\clones\elixir\lib\elixir\src\elixir_parser.yrl,219,100.0,897.0
elixir,Erlang,D:\clones\elixir\lib\elixir\src\elixir_config.erl,18,3.0,63.0
elixir,Erlang,D:\clones\elixir\lib\elixir\src\elixir_tokenizer.erl,304,71.0,1310.0
elixir,Erlang,D:\clones\elixir\lib\elixir\src\elixir_expand.erl,201,77.0,1063.0
floki,Erlang,D:\clones\floki\src\floki_mochi_html.erl,70,85.0,717.0
elixir,Erlang,D:\clones\elixir\lib\mix\test\fixtures\compile_erlang\include\r.hrl,0,0.0,1.0
elixir,Erlang,D:\clones\elixir\lib\elixir\src\elixir_map.erl,27,10.0,205.0
exrm,Erlang,D:\clones\exrm\priv\rel\files\install_upgrade.escript,9,8.0,120.0
elixir,Erlang,D:\clones\elixir\lib\elixir\src\elixir_erl_var.erl,16,5.0,69.0
elixir,Erlang,D:\clones\elixir\lib\elixir\src\elixir_fn.erl,36,3.0,162.0
elixir,Erlang,D:\clones\elixir\lib\mix\test\fixtures\compile_yecc\src\test_ok.yrl,7,0.0,29.0
elixir,Erlang,D:\clones\elixir\lib\mix\test\fixtures\rebar_dep\src\rebar_dep.app.src,0,0.0,4.0
elixir,Erlang,D:\clones\elixir\lib\elixir\src\elixir_env.erl,27,4.0,123.0
elixir,Erlang,D:\clones\elixir\lib\mix\test\fixtures\rebar_dep\src\rebar_dep.erl,2,0.0,4.0
elixir,Erlang,D:\clones\elixir\lib\elixir\src\elixir_utils.erl,39,14.0,154.0
floki,Erlang,D:\clones\floki\src\floki_selector_lexer.xrl,6,0.0,46.0
elixir,Erlang,D:\clones\elixir\lib\elixir\src\elixir_def.erl,76,20.0,377.0
elixir,Erlang,D:\clones\elixir\lib\elixir\test\erlang\string_test.erl,52,4.0,133.0
