Linguagem,min,max,mediana,avg,quartile_90,quartile_95,quartile_99,archives_quartile_99,total_archives
ActionScript,1.0,10442.0,22.0,69.27086007702182,113.20000000000005,229.099999999999,481.0,7,779
Ant,10.0,1407.0,64.0,222.76190476190476,394.0,1011.0,1327.8000000000002,1,21
ANTLR Grammar,91.0,1620.0,199.0,477.4,1261.8,1444.2999999999997,1584.86,1,15
Arduino Sketch,9.0,243.0,36.0,43.32258064516129,66.0,82.5,199.4999999999999,1,31
AsciiDoc,1.0,10605.0,70.0,164.60603112840468,315.0,468.0,1377.0000000000045,21,2056
ASP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4
ASP.NET,1.0,1577.0,32.0,45.34872217642209,76.79999999999995,105.0,186.0,11,1213
AspectJ,10.0,50.0,33.0,28.692307692307693,44.400000000000006,46.99999999999999,49.39999999999999,1,13
Assembly,0.0,10065.0,73.0,461.68586118251926,1304.4000000000005,2283.799999999998,5182.759999999998,20,1945
awk,1.0,674.0,30.0,75.21739130434783,121.00000000000004,319.1999999999997,600.5200000000004,1,23
Blade,1.0,386.0,16.5,31.54040404040404,74.30000000000001,97.0,171.04000000000008,2,198
Bourne Again Shell,1.0,2815.0,15.0,46.44476744186046,94.0,142.89999999999986,486.96999999999923,11,1032
Bourne Shell,0.0,26607.0,22.0,114.3693564569299,155.40000000000055,304.0,1371.4399999999932,70,6977
builder,1.0,5.0,4.0,3.3333333333333335,4.8,4.9,4.98,1,3
C Shell,7.0,45.0,16.5,21.25,37.800000000000004,41.39999999999999,44.279999999999994,1,4
C# Designer,4.0,8760.0,70.0,240.13564668769715,474.40000000000003,829.7999999999952,2892.5999999999985,4,317
C# Generated,4.0,2006.0,460.0,823.3333333333334,1696.8000000000002,1851.3999999999999,1975.08,1,3
C#,0.0,122380.0,46.0,173.07788664093536,339.0,629.0,2058.699999999997,708,70731
C++,0.0,103187.0,137.0,392.11971442479313,816.0,1392.0,3727.600000000006,309,30815
C,0.0,438441.0,127.0,428.4719693094629,863.1000000000022,1515.0999999999985,3997.6099999999824,196,19550
Cake Build Script,230.0,287.0,240.0,252.33333333333334,277.6,282.3,286.06,1,3
Chapel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
Clojure,1.0,3429.0,55.0,113.7316384180791,258.3000000000004,383.64999999999986,878.1299999999987,18,1770
ClojureC,1.0,4295.0,86.0,265.6755319148936,704.4000000000005,1255.15,2650.389999999998,2,188
ClojureScript,1.0,10292.0,49.0,163.6042216358839,338.5999999999999,503.0999999999976,1542.1,4,379
CMake,0.0,15539.0,25.0,79.05961468556889,160.0,279.5,863.5,28,2751
COBOL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1
CoffeeScript,0.0,9224.0,47.0,168.08255006129954,346.0,693.3999999999996,2461.0999999999995,25,2447
CSON,0.0,247.0,6.0,32.09090909090909,139.8,198.0999999999999,236.20000000000002,1,55
CSS,0.0,28170.0,26.0,205.77511961722487,336.0,707.3999999999996,4373.360000000002,36,3553
CSV,1.0,19477.0,13.5,425.60372340425533,507.5,1430.5,10000.25,4,376
Cucumber,4.0,1271.0,44.0,80.04832713754647,163.20000000000002,258.9999999999998,687.4799999999985,3,269
CUDA,1.0,4750.0,65.5,157.35374149659864,360.7000000000006,586.4999999999998,1014.5499999999998,6,588
Cython,1.0,2291.0,57.0,179.50218340611355,513.6,836.1999999999996,1474.0399999999997,3,229
C/C++ Header,0.0,88965.0,41.0,142.23606090247947,252.0,447.0,1472.75,471,47026
D,5.0,460.0,26.5,56.041666666666664,106.89999999999998,184.69999999999982,399.5099999999999,1,24
DAL,309.0,309.0,309.0,309.0,309.0,309.0,309.0,0,1
Dart,2.0,2026.0,221.0,439.7391304347826,998.6,1789.2999999999988,1993.0000000000002,1,23
dhall,1.0,29.0,9.0,12.4,25.0,27.0,28.6,1,5
diff,1.0,13167.0,15.0,93.38888888888889,110.80000000000018,218.94999999999936,2062.230000000001,9,864
Dockerfile,1.0,221.0,16.0,25.97054698457223,64.0,79.0,142.76,8,713
DOS Batch,1.0,817.0,14.0,34.4327731092437,74.0,103.75000000000011,250.44000000000005,8,714
DTD,1.0,403.0,8.5,66.33333333333333,196.30000000000007,275.4999999999998,377.4999999999998,1,18
EEx,1.0,762.0,10.0,35.463157894736845,65.0,95.49999999999987,606.9000000000003,1,95
EJS,2.0,228.0,13.0,31.433333333333334,80.50000000000006,140.04999999999984,209.15000000000006,1,30
Elixir,0.0,2775.0,56.0,143.8,381.1999999999998,673.1999999999989,1007.2700000000009,30,2940
Elm,22.0,908.0,109.0,197.5,407.4999999999999,657.7499999999997,857.9499999999998,1,8
ERB,1.0,854.0,7.0,29.77221324717286,57.299999999999955,127.14999999999986,409.5199999999995,13,1238
Erlang,1.0,1310.0,121.5,205.24137931034483,426.4000000000002,743.9999999999998,1169.21,1,58
Expect,2.0,35.0,18.5,18.5,31.7,33.35,34.67,1,2
F#,2.0,32.0,11.0,12.153846153846153,21.200000000000003,25.999999999999986,30.79999999999999,1,13
Fish Shell,4.0,1353.0,43.5,158.16666666666666,113.5,672.0999999999991,1216.8200000000006,1,12
Forth,1.0,630.0,1.0,127.6,380.00000000000006,504.9999999999999,605.0,1,5
Fortran 77,2.0,35.0,3.0,6.555555555555555,11.800000000000004,23.39999999999999,32.68,1,9
Fortran 90,3.0,7.0,6.0,5.6,7.0,7.0,7.0,0,5
Freemarker Template,1.0,117.0,14.0,39.583333333333336,110.5,114.25,116.45,1,12
FXML,7.0,71.0,33.5,33.375,53.0,61.49999999999998,69.16,1,24
GDScript,0.0,78.0,5.0,9.746341463414634,19.0,33.79999999999998,70.0,1,205
Gencat NLS,1.0,109.0,47.0,37.861635220125784,76.0,78.59999999999997,91.0,1,159
Glade,464.0,1019.0,741.5,741.5,963.5,991.25,1013.45,1,2
Gleam,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,1
GLSL,1.0,1481.0,32.5,87.09294871794872,189.90000000000038,295.29999999999984,789.4099999999991,4,312
Go,0.0,90876.0,74.0,239.5882724972895,461.0,797.0,2166.5800000000017,443,44272
